INSERT INTO INNING  VALUES('0004', '1', '4', '3', '2', '5', '4', '0');
INSERT INTO INNING  VALUES('0004', '2', '2', '1', '1', '8', '7', '2');
INSERT INTO INNING  VALUES('0004', '3', '2', '1', '0', '3', '2', '2');
INSERT INTO INNING  VALUES('0004', '4', '7', '6', '1', '0', '0', '0');
INSERT INTO INNING  VALUES('0004', '5', '5', '4', '1', '6', '5', '0');
INSERT INTO INNING  VALUES('0004', '6', '10', '9', '0', '1', '0', '2');
INSERT INTO INNING  VALUES('0005', '1', '2', '1', '2', '2', '1', '1');
INSERT INTO INNING  VALUES('0005', '2', '9', '8', '0', '8', '7', '0');
INSERT INTO INNING  VALUES('0005', '3', '7', '6', '2', '8', '7', '2');
INSERT INTO INNING  VALUES('0005', '4', '1', '0', '1', '9', '8', '2');
INSERT INTO INNING  VALUES('0005', '5', '0', '0', '1', '9', '8', '1');
INSERT INTO INNING  VALUES('0005', '6', '9', '8', '2', '6', '5', '0');
INSERT INTO INNING  VALUES('0006', '1', '9', '8', '0', '1', '0', '0');
INSERT INTO INNING  VALUES('0006', '2', '3', '2', '0', '0', '0', '2');
INSERT INTO INNING  VALUES('0006', '3', '7', '6', '1', '3', '2', '2');
INSERT INTO INNING  VALUES('0006', '4', '4', '3', '1', '8', '7', '1');
INSERT INTO INNING  VALUES('0006', '5', '10', '9', '0', '6', '5', '2');
INSERT INTO INNING  VALUES('0006', '6', '9', '8', '1', '2', '1', '0');
INSERT INTO INNING  VALUES('0007', '1', '3', '2', '1', '8', '7', '1');
INSERT INTO INNING  VALUES('0007', '2', '3', '2', '0', '10', '9', '1');
INSERT INTO INNING  VALUES('0007', '3', '10', '9', '2', '8', '7', '0');
INSERT INTO INNING  VALUES('0007', '4', '8', '7', '0', '0', '0', '1');
INSERT INTO INNING  VALUES('0007', '5', '10', '9', '1', '7', '6', '1');
INSERT INTO INNING  VALUES('0007', '6', '5', '4', '2', '3', '2', '2');
INSERT INTO INNING  VALUES('0008', '1', '5', '4', '0', '8', '7', '1');
INSERT INTO INNING  VALUES('0008', '2', '2', '1', '1', '0', '0', '1');
INSERT INTO INNING  VALUES('0008', '3', '4', '3', '2', '2', '1', '0');
INSERT INTO INNING  VALUES('0008', '4', '8', '7', '1', '2', '1', '1');
INSERT INTO INNING  VALUES('0008', '5', '7', '6', '1', '2', '1', '0');
INSERT INTO INNING  VALUES('0008', '6', '9', '8', '2', '8', '7', '2');
INSERT INTO INNING  VALUES('0009', '1', '7', '6', '2', '5', '4', '0');
INSERT INTO INNING  VALUES('0009', '2', '6', '5', '1', '0', '0', '0');
INSERT INTO INNING  VALUES('0009', '3', '9', '8', '1', '10', '9', '0');
INSERT INTO INNING  VALUES('0009', '4', '9', '8', '0', '3', '2', '1');
INSERT INTO INNING  VALUES('0009', '5', '8', '7', '0', '8', '7', '1');
INSERT INTO INNING  VALUES('0009', '6', '7', '6', '1', '0', '0', '1');
INSERT INTO INNING  VALUES('00010', '1', '2', '1', '1', '3', '2', '2');
INSERT INTO INNING  VALUES('00010', '2', '9', '8', '2', '9', '8', '2');
INSERT INTO INNING  VALUES('00010', '3', '9', '8', '1', '10', '9', '0');
INSERT INTO INNING  VALUES('00010', '4', '9', '8', '1', '1', '0', '1');
INSERT INTO INNING  VALUES('00010', '5', '3', '2', '1', '10', '9', '0');
INSERT INTO INNING  VALUES('00010', '6', '3', '2', '0', '3', '2', '1');
